ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
100010,Milla Jauho,Female,23.0,165 cm,53 kg,,FIN,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100010,Milla Jauho,Female,23.0,165 cm,53 kg,,FIN,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100010,Milla Jauho,Female,23.0,165 cm,53 kg,Finland,FIN,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100006,Renate Roider,Female,27.0,167 cm,60 kg,,AUT,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100006,Renate Roider,Female,27.0,167 cm,60 kg,,AUT,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100006,Renate Roider,Female,27.0,167 cm,60 kg,,AUT,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100008,Sigrid Wille,Female,29.0,168 cm,55 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100008,Sigrid Wille,Female,29.0,168 cm,55 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100008,Sigrid Wille,Female,29.0,168 cm,55 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100005,Maryna Pestriakova,Female,26.0,158 cm,56 kg,,UKR,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100005,Maryna Pestriakova,Female,26.0,158 cm,56 kg,,UKR,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100005,Maryna Pestriakova,Female,26.0,158 cm,56 kg,,UKR,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100005,Maryna Pestriakova,Female,26.0,158 cm,56 kg,Ukraine,UKR,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100005,Maryna Pestriakova,Female,30.0,158 cm,56 kg,,UKR,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100005,Maryna Pestriakova,Female,30.0,158 cm,56 kg,,UKR,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"5/5 kilometres Pursuit, Women",
100004,Constanze Blum,Female,26.0,162 cm,52 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100004,Constanze Blum,Female,26.0,162 cm,52 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100004,Constanze Blum,Female,26.0,162 cm,52 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100004,Constanze Blum,Female,26.0,162 cm,52 kg,,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100004,Constanze Blum,Female,26.0,162 cm,52 kg,Germany,GER,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100012,Karin Moroder,Female,24.0,163 cm,61 kg,,ITA,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100012,Karin Moroder,Female,24.0,163 cm,61 kg,,ITA,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100012,Karin Moroder,Female,24.0,163 cm,61 kg,Italy,ITA,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Bronze
100012,Karin Moroder,Female,28.0,163 cm,61 kg,,ITA,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"Sprint, Women",
100012,Karin Moroder,Female,36.0,163 cm,61 kg,,ITA,2010 Winter Olympics,2010,Winter,,Cross Country Skiing (Skiing),"Sprint, Women",
100003,Svetlana Deshevykh,Female,28.0,158 cm,54 kg,,KAZ,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100003,Svetlana Deshevykh,Female,28.0,158 cm,54 kg,,KAZ,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100003,Svetlana Deshevykh,Female,28.0,158 cm,54 kg,,KAZ,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100003,Svetlana Deshevykh,Female,28.0,158 cm,54 kg,,KAZ,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100003,Svetlana Deshevykh,Female,28.0,158 cm,54 kg,Kazakhstan,KAZ,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100003,Svetlana Deshevykh,Female,32.0,158 cm,54 kg,,KAZ,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"10 kilometres, Women",
100003,Svetlana Deshevykh,Female,32.0,158 cm,54 kg,,KAZ,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100003,Svetlana Deshevykh,Female,32.0,158 cm,54 kg,,KAZ,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"5/5 kilometres Pursuit, Women",
100003,Svetlana Deshevykh,Female,32.0,158 cm,54 kg,Kazakhstan,KAZ,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100009,Jana Šaldová,Female,23.0,170 cm,62 kg,,CZE,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100009,Jana Šaldová,Female,23.0,170 cm,62 kg,,CZE,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100009,Jana Šaldová,Female,23.0,170 cm,62 kg,,CZE,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100009,Jana Šaldová,Female,23.0,170 cm,62 kg,Czech Republic,CZE,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",
100001,Katrin Šmigun,Female,19.0,170 cm,50 kg,,EST,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100001,Katrin Šmigun,Female,19.0,170 cm,50 kg,,EST,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100001,Katrin Šmigun,Female,19.0,170 cm,50 kg,,EST,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",
100001,Katrin Šmigun,Female,23.0,170 cm,50 kg,,EST,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"10 kilometres, Women",
100001,Katrin Šmigun,Female,23.0,170 cm,50 kg,,EST,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
100001,Katrin Šmigun,Female,23.0,170 cm,50 kg,,EST,2002 Winter Olympics,2002,Winter,,Cross Country Skiing (Skiing),"30 kilometres, Women",
100002,Satu Salonen,Female,25.0,167 cm,58 kg,,FIN,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"5 kilometres, Women",
100002,Satu Salonen,Female,25.0,167 cm,58 kg,,FIN,1998 Winter Olympics,1998,Winter,,Cross Country Skiing (Skiing),"15 kilometres, Women",
