ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
20004,Rahim Khan,Male,25.0,,,Pakistan,PAK,1996 Summer Olympics,1996,Summer,,Hockey,"Hockey, Men",
20005,Samiullah,Male,25.0,171 cm,64 kg,Pakistan,PAK,1976 Summer Olympics,1976,Summer,,Hockey,"Hockey, Men",Bronze
20001,Aziz-ur Rehman,Male,25.0,,,Pakistan,PAK,1948 Summer Olympics,1948,Summer,,Hockey,"Hockey, Men",
20003,Niaz Khan,Male,31.0,,,Pakistan,PAK,1948 Summer Olympics,1948,Summer,,Hockey,"Hockey, Men",
20003,Niaz Khan,Male,35.0,,,Pakistan,PAK,1952 Summer Olympics,1952,Summer,,Hockey,"Hockey, Men",
20002,Farhat Hassan Khan,Male,27.0,,,Pakistan,PAK,1992 Summer Olympics,1992,Summer,,Hockey,"Hockey, Men",Bronze
20006,Shahid Ali Khan,Male,20.0,170 cm,60 kg,Pakistan,PAK,1984 Summer Olympics,1984,Summer,,Hockey,"Hockey, Men",Gold
20006,Shahid Ali Khan,Male,28.0,170 cm,60 kg,Pakistan,PAK,1992 Summer Olympics,1992,Summer,,Hockey,"Hockey, Men",Bronze
20008,Khawaja Muhammad Taqi,Male,30.0,,,Pakistan,PAK,1948 Summer Olympics,1948,Summer,,Hockey,"Hockey, Men",
20007,Khawaja Junaid,Male,26.0,,,Pakistan,PAK,1992 Summer Olympics,1992,Summer,,Hockey,"Hockey, Men",Bronze
20007,Khawaja Junaid,Male,46.0,,,Pakistan,PAK,2012 Summer Olympics,2012,Summer,,Hockey,"Hockey, Men",
20011,Khurshid Azam,Male,22.0,171 cm,67 kg,Pakistan,PAK,1964 Summer Olympics,1964,Summer,,Hockey,"Hockey, Men",Silver
20009,Nawaz Khizar Bajwa,Male,22.0,170 cm,68 kg,Pakistan,PAK,1964 Summer Olympics,1964,Summer,,Hockey,"Hockey, Men",Silver
20010,Khurshid Aslam,Male,16.0,179 cm,70 kg,Pakistan,PAK,1952 Summer Olympics,1952,Summer,,Hockey,"Hockey, Men",
20010,Khurshid Aslam,Male,24.0,179 cm,70 kg,Pakistan,PAK,1960 Summer Olympics,1960,Summer,,Hockey,"Hockey, Men",Gold
